"PlanningArea","Latitude","Longitude","1","2","3","4"
"Ang Mo Kio",1.3756,103.8419,3150,3600,4600,6150
"Bedok",1.3252,103.9308,3100,3800,4600,6200
"Bishan",1.3545,103.8374,3425,4025,5100,7800
"Bukit Batok",1.3562,103.7526,3150,3700,4200,5550
"Bukit Merah",1.2773,103.8215,3758,5000,7200,9050
"Bukit Panjang",1.3668,103.7726,2500,3400,4400,5500
"Bukit Timah",1.3286,103.7934,3100,4500,6450,9500
"Choa Chu Kang",1.3876,103.7485,3050,3600,4050,4550
"Clementi",1.3172,103.7605,3300,4000,5500,6675
"Downtown Core",1.2868,103.8527,4600,6800,9900,14500
"Geylang",1.3226,103.8894,3000,3900,4700,6000
"Hougang",1.3599,103.8888,2825,3400,4300,5050
"Jurong East",1.3249,103.7423,3500,4500,4775,4500
"Jurong West",1.3434,103.7043,3300,4300,5500,7075
"Kallang",1.3121,103.8651,3200,4350,5700,7500
"Mandai",1.4274,103.813,NA,NA,4250,NA
"Marine Parade",1.2982,103.8968,3600,4500,6200,8100
"Museum",1.2961,103.8475,4000,5500,7000,NA
"Newton",1.3088,103.8409,4325,5500,8850,15000
"Novena",1.3264,103.8375,3100,4500,6000,8750
"Orchard",1.3039,103.8342,5000,7325,14800,22000
"Outram",1.2819,103.8434,3800,5300,5000,7600
"Pasir Ris",1.3763,103.9539,2700,3400,4025,5450
"Punggol",1.4037,103.9052,3100,3680,4300,4550
"Queenstown",1.2872,103.7851,3600,4600,5950,6900
"River Valley",1.2979,103.8363,4500,6300,9000,11250
"Rochor",1.305,103.8542,3800,4500,6200,NA
"Sembawang",1.4529,103.8184,2850,3000,4000,4500
"Sengkang",1.3885,103.8959,2750,3475,4000,4750
"Serangoon",1.3668,103.8679,2950,3800,5050,6500
"Singapore River",1.2908,103.8405,4000,6175,8200,12344
"Southern Islands",1.2489,103.8343,NA,6500,9000,11250
"Tampines",1.3461,103.948,2800,3600,4200,5100
"Tanglin",1.3075,103.815,3500,5100,7200,10000
"Toa Payoh",1.3361,103.8627,3100,4250,5250,8500
"Woodlands",1.4423,103.7886,2600,3775,3900,NA
"Yishun",1.4193,103.8395,2700,3500,4000,5200
